query_id,query,ground_truth,doc_reference
1,What enemy fight can Mimic show up in?,The Frost Shades,https://wildfrostwiki.com/Mimik
2,When does Lumin Goop appear?,When the player has at least 10 points of Storm Bells active.,https://wildfrostwiki.com/Lumin_Goop
3,"Without any addons, how much damage can Shroomine deal across via Shroom?",A total of 10 damage across four turns,https://wildfrostwiki.com/Shroomine
4,How much attack does Bombarder have? ,Attack: 0,https://wildfrostwiki.com/Bombarder
5,What fights can Shroom Gobbler appear in?,The Noxious Shrooms and Truffle,https://wildfrostwiki.com/Shroom_Gobbler
6,Where can I encounter Frost Crusher?,In the Heart of the Storm,https://wildfrostwiki.com/Frost_Crusher
7,What card does Kraken always appear with?,Octobom,https://wildfrostwiki.com/Kraken
8,How do I summon Dregg?,Dregg is summoned when Egg is destroyed.,https://wildfrostwiki.com/Dregg
9,What is card description for Frost Bell?,Apply 2 Frost. Barrage.,https://wildfrostwiki.com/Frost_Bell
10,What's the only enemy card to add health to cards instead of just restoring it?,Beeberry,https://wildfrostwiki.com/Beeberry
11,What fight does Marrow show up in?,The Toothy Shades,https://wildfrostwiki.com/Marrow
12,What's the only card to innately have Zoomlin?,Skull Muffin,https://wildfrostwiki.com/Skull_Muffin
13,How do I unlock Toaster?,Add 10 Scrap to Clunkers,https://wildfrostwiki.com/Toaster
14,What card has the highest base health?,Frost Guardian with 999 health,https://wildfrostwiki.com/Frost_Guardian
15,How much attack does Winter Worm lose when hit?,1 attack,https://wildfrostwiki.com/Winter_Worm
16,How much attack does Pygmy deal?,0 attack,https://wildfrostwiki.com/Pygmy
17,How much health does Gunkbunk have?,10 health,https://wildfrostwiki.com/Gunkback
18,What's the only enemy that interacts with their counter in any way?,Grog,https://wildfrostwiki.com/Grog
19,What was Dimona's ability in Version 1.0?,Apply 1 Demonize.,https://wildfrostwiki.com/Dimona
20,How much shell does Shell Shield apply?,4 Shell,https://wildfrostwiki.com/Shell_Shield
21,What happens when Bamboozle is defeated?,It splits into Bam and Boozle.,https://wildfrostwiki.com/Bam
22,How much attack does Clockwork Bom deal?,2 damage,https://wildfrostwiki.com/Clockwork_Bom
23,"When the Titan Bell is activated, what charms can Bamboozle spawn with?",It randomly chooses one of the following charms: - Heart Charm\n -Snowball Charm \n Durian Charm,https://wildfrostwiki.com/Bamboozle
24,How much trash does Proto-Stomper produce when used?,2 Trash,https://wildfrostwiki.com/Proto-Stomper
25,"When Tootodrion is triggered, does it reset the Counter of it's allies?","No, it does not reset the Counter of your allies, it will stay at the same level as it was when Tootoridion was activated..",https://wildfrostwiki.com/Tootordion
26,How much damage does Bonescraper deal?,5 damage,https://wildfrostwiki.com/Bonescraper
27,What does Beepop mask do?,Summon Beepop,https://wildfrostwiki.com/Beepop_Mask
28,What is Grumps ability?,"When hit, reduce the attacker's Attack by 1.",https://wildfrostwiki.com/Grumps
29,What cards can Weevil not destroy in hand?,Weevil cannot destroy Clunkers and Companions in hand.,https://wildfrostwiki.com/Weevil
30,What tribe does Blaze Bom belong to?,The Clunkmasters Tribe,https://wildfrostwiki.com/Blaze_Bom
31,What is the card description for Kobonker?,Trigger against anything that is hit with Snow.,https://wildfrostwiki.com/Kobonker
32,What does Forging Stove do?,"Destroy a card in your hand
Add its Attack to a random ally",https://wildfrostwiki.com/Forging_Stove
33,How do I summon Chikani?,By sacrificing Chikichi.,https://wildfrostwiki.com/Chikani
34,What fights can Gromble show up in?,The Wooly Drek and The Toothy Shades,https://wildfrostwiki.com/Gromble
35,What fights can Rockhog show up in?,The Wild Hogs and in The Eye of the Storm,https://wildfrostwiki.com/Rockhog
36,What Tribe does Tinkerson Jr. belong to?,The Clunkmasters Tribe,https://wildfrostwiki.com/Tinkerson_Jr.
37,What's the effect of the Frostbite Shard?,"Reduce the target's effects by 1
Consume",https://wildfrostwiki.com/Frostbite_Shard
38,How much Frenzy does Waddlegoons have?,x3 Frenzy,https://wildfrostwiki.com/Waddlegoons
39,Tell me the stats of Bigfoot.,"Health: 12, Attack: 5, Counter: 4",https://wildfrostwiki.com/Bigfoot
40,What pet heals all allies for 3 health?,Booshu,https://wildfrostwiki.com/Booshu
41,What's the effect of Scrap Pile?,Add 1 Scrap,https://wildfrostwiki.com/Scrap_Pile
42,How do I summon Beebop?,Beepop is a Shade summoned with the Beepop Mask and some Shademancer Leaders.,https://wildfrostwiki.com/Beepop
43,What are the stats for Mama Tinkerson?,"Health: 5, Attack: 3, Counter: 4",https://wildfrostwiki.com/Mama_Tinkerson
44,What charms can Queen Globerry spawn with if the Titan Bell is activated?,It's randomly selected between the Heart Charm and Sun Charm.,https://wildfrostwiki.com/Queen_Globerry
45,What tribe does Pyra belong to?,The Snowdwellers Tribe,https://wildfrostwiki.com/Pyra
46,What are the stats for Blunky?,"Health: 1, Attack: 1, Counter: 2",https://wildfrostwiki.com/Blunky
47,What is the card effect for Berry Bell?,Increase Health by 1. Barrage,https://wildfrostwiki.com/Berry_Bell
48,What fight is Lumako part of?,The Ink Sacks,https://wildfrostwiki.com/Lumako
49,How do I unlock Lil Gazi?,Achieve a 6x kill combo,https://wildfrostwiki.com/Lil'_Gazi
50,What is Hazeblazer's card effect?,Apply 1 Haze. Deal 3 damage to self.,https://wildfrostwiki.com/Hazeblazer
51,,,https://wildfrostwiki.com/Paw_Paw
52,,,https://wildfrostwiki.com/Egg
53,,,https://wildfrostwiki.com/Noomlin_Biscuit
54,,,https://wildfrostwiki.com/Grizzle
55,,,https://wildfrostwiki.com/Bolgo
56,,,https://wildfrostwiki.com/Kreggo
57,,,https://wildfrostwiki.com/Conker
58,,,https://wildfrostwiki.com/Splinter
59,,,https://wildfrostwiki.com/Prickle
60,,,https://wildfrostwiki.com/Snowbirb
61,,,https://wildfrostwiki.com/Krono
62,,,https://wildfrostwiki.com/Earth_Berry
63,,,https://wildfrostwiki.com/Flask_of_Ink
64,,,https://wildfrostwiki.com/Jumbo
65,,,https://wildfrostwiki.com/Shade_Clay
66,,,https://wildfrostwiki.com/Peppereaper
67,,,https://wildfrostwiki.com/Frenzy_Wrench
68,,,https://wildfrostwiki.com/Shrootles
69,,,https://wildfrostwiki.com/The_Lumin_Vase
70,,,https://wildfrostwiki.com/Frost_Guardian
71,,,https://wildfrostwiki.com/Roibos
72,,,https://wildfrostwiki.com/Bitebox
73,,,https://wildfrostwiki.com/Gunk_Fruit
74,,,https://wildfrostwiki.com/Snoffel
75,,,https://wildfrostwiki.com/Yuki
76,,,https://wildfrostwiki.com/Gigi's_Cookie_Box
77,,,https://wildfrostwiki.com/Folby
78,,,https://wildfrostwiki.com/Lump
79,,,https://wildfrostwiki.com/Tentickle
80,,,https://wildfrostwiki.com/Popshroom
81,,,https://wildfrostwiki.com/Dungrok
82,,,https://wildfrostwiki.com/Bling_Bank
83,,,https://wildfrostwiki.com/Spore_Pack
84,,,https://wildfrostwiki.com/Blizzard_Bottle
85,,,https://wildfrostwiki.com/Heartmist_Station
86,,,https://wildfrostwiki.com/Pepper_Flag
87,,,https://wildfrostwiki.com/Sun_Rod
88,,,https://wildfrostwiki.com/Supersnower
89,,,https://wildfrostwiki.com/Lil'_Berry
90,,,https://wildfrostwiki.com/Suncream
91,,,https://wildfrostwiki.com/Wallop
92,,,https://wildfrostwiki.com/Moko_Head
93,,,https://wildfrostwiki.com/Woodhead
94,,,https://wildfrostwiki.com/Octako
95,,,https://wildfrostwiki.com/Tigris_Mask
96,,,https://wildfrostwiki.com/Fallow_Mask
97,,,https://wildfrostwiki.com/Veiled_Lady
98,,,https://wildfrostwiki.com/Tar_Blade
99,,,https://wildfrostwiki.com/Frost_Lancer
100,,,https://wildfrostwiki.com/The_Snow_Knight
